,t,condition,cR,c1,c2,c3,c4,rR,r1,r2,r3,r4,A,N,G
77,17,(L__),400,203,417,60,0,0.37037037,0.187962963,0.386111111,0.055555556,0,0.1,0,0
110,20,(HMM),957,1,11,18,14,0.956043956,0.000999001,0.010989011,0.017982018,0.013986014,1,0.05,0.05
111,20,(LMM),1149,176,260,41,1,0.706207744,0.108174554,0.159803319,0.025199754,0.000614628,0.1,0.05,0.05
112,20,(HL_),199,1,61,467,409,0.175021988,0.000879507,0.053649956,0.410729991,0.359718558,1,0.005,0
113,20,(LL_),472,201,329,47,6,0.447393365,0.190521327,0.311848341,0.044549763,0.005687204,0.1,0.005,0
114,20,(HM_),354,6,71,416,249,0.322992701,0.005474453,0.064781022,0.379562044,0.227189781,1,0.05,0
116,20,(HH_),1254,3,4,17,9,0.974358974,0.002331002,0.003108003,0.013209013,0.006993007,1,0.5,0
117,20,(LH_),988,7,3,5,9,0.976284585,0.006916996,0.002964427,0.004940711,0.008893281,0.1,0.5,0
118,20,(H_L),393,9,110,657,296,0.268259386,0.006143345,0.075085324,0.448464164,0.202047782,1,0,0.005
119,20,(L_L),291,196,335,45,1,0.335253456,0.225806452,0.3859447,0.051843318,0.001152074,0.1,0,0.005
109,20,(LHH),836,3,0,7,4,0.983529412,0.003529412,0,0.008235294,0.004705882,0.1,0.5,0.5
115,20,(LM_),205,52,345,206,14,0.249391727,0.063260341,0.419708029,0.250608273,0.01703163,0.1,0.05,0
108,20,(HHH),781,0,0,4,4,0.989860583,0,0,0.005069708,0.005069708,1,0.5,0.5
107,20,(LHL),725,5,5,0,2,0.983717775,0.006784261,0.006784261,0,0.002713704,0.1,0.5,0.005
106,20,(HHL),646,1,3,6,8,0.972891566,0.001506024,0.004518072,0.009036145,0.012048193,1,0.5,0.005
97,20,(L_M),406,271,251,8,1,0.433297759,0.289220918,0.267876201,0.008537887,0.001067236,0.1,0,0.05
98,20,(H_H),791,3,0,0,0,0.996221662,0.003778338,0,0,0,1,0,0.5
99,20,(L_H),631,8,4,0,1,0.979813665,0.01242236,0.00621118,0,0.001552795,0.1,0,0.5
100,20,(H__),158,2,53,454,463,0.139823009,0.001769912,0.046902655,0.401769912,0.409734513,1,0,0
96,20,(H_M),1111,8,45,112,52,0.836596386,0.006024096,0.033885542,0.084337349,0.039156627,1,0,0.05
102,20,(HLL),505,17,111,331,156,0.450892857,0.015178571,0.099107143,0.295535714,0.139285714,1,0.005,0.005
103,20,(LLL),320,230,371,19,1,0.340063762,0.244420829,0.394261424,0.020191286,0.001062699,0.1,0.005,0.005
104,20,(HLH),491,1,0,0,0,0.99796748,0.00203252,0,0,0,1,0.005,0.5
105,20,(LLH),723,9,3,0,0,0.983673469,0.012244898,0.004081633,0,0,0.1,0.005,0.5
101,20,(L__),222,180,377,56,1,0.265550239,0.215311005,0.450956938,0.066985646,0.001196172,0.1,0,0
